year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,imageUrl,imageName
1945,Chemistry,The Nobel Prize in Chemistry 1945,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",1/1,203,Individual,Artturi Ilmari Virtanen,1895-01-15,Helsinki,Russian Empire (Finland),Male,University of Helsinki,Helsinki,Finland,1973-11-11,Helsinki,Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Virtanen.jpg/300px-Virtanen.jpg,Virtanen.jpg
1945,Literature,The Nobel Prize in Literature 1945,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",1/1,615,Individual,Gabriela Mistral,1889-04-07,Vicuña,Chile,Female,NA,NA,NA,1957-01-10,"Hempstead, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/6/64/Gabriela_Mistral_1945.jpg,Gabriela_Mistral_1945.jpg
1945,Peace,The Nobel Peace Prize 1945,NA,1/1,505,Individual,Cordell Hull,1871-10-02,"Olympus, TN",United States of America,Male,NA,NA,NA,1955-07-23,"Bethesda, MD",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/HULL%2C_CORDELL._HONORABLE_LCCN2016862713_%28cropped%29.jpg/300px-HULL%2C_CORDELL._HONORABLE_LCCN2016862713_%28cropped%29.jpg,"HULL,_CORDELL._HONORABLE_LCCN2016862713_(cropped).jpg"
1945,Physics,The Nobel Prize in Physics 1945,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",1/1,50,Individual,Wolfgang Pauli,1900-04-25,Vienna,Austria,Male,Princeton University,"Princeton, NJ",United States of America,1958-12-15,Zurich,Switzerland,https://upload.wikimedia.org/wikipedia/commons/4/43/Pauli.jpg,Pauli.jpg
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1/4,205,Individual,John Howard Northrop,1891-07-05,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1987-05-27,"Wickenberg, AZ",United States of America,https://upload.wikimedia.org/wikipedia/commons/3/3a/John_Howard_Northrop.jpg,John_Howard_Northrop.jpg
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1/4,206,Individual,Wendell Meredith Stanley,1904-08-16,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1971-06-15,Salamanca,Spain,https://upload.wikimedia.org/wikipedia/commons/5/53/Wendell_Meredith_Stanley.jpg,Wendell_Meredith_Stanley.jpg
1946,Literature,The Nobel Prize in Literature 1946,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",1/1,617,Individual,Hermann Hesse,1877-07-02,Calw,Germany,Male,NA,NA,NA,1962-08-09,Montagnola,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Hermann_Hesse_2.jpg/300px-Hermann_Hesse_2.jpg,Hermann_Hesse_2.jpg
1946,Medicine,The Nobel Prize in Physiology or Medicine 1946,"""for the discovery of the production of mutations by means of X-ray irradiation""",1/1,342,Individual,Hermann Joseph Muller,1890-12-21,"New York, NY",United States of America,Male,Indiana University,"Bloomington, IN",United States of America,1967-04-05,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/HJ_Muller_1952.jpg/300px-HJ_Muller_1952.jpg,HJ_Muller_1952.jpg
1946,Peace,The Nobel Peace Prize 1946,NA,1/2,506,Individual,Emily Greene Balch,1867-01-08,"Jamaica Plain, MA (Boston)",United States of America,Female,NA,NA,NA,1961-01-09,"Cambridge, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/6/6d/EmilyGreeneBalch.jpg,EmilyGreeneBalch.jpg
1946,Physics,The Nobel Prize in Physics 1946,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",1/1,51,Individual,Percy Williams Bridgman,1882-04-21,"Cambridge, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1961-08-20,"Randolph, NH",United States of America,https://upload.wikimedia.org/wikipedia/commons/9/9a/Bridgman.jpg,Bridgman.jpg
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1/4,343,Individual,Carl Ferdinand Cori,1896-12-05,Prague,Austria-Hungary (Czech Republic),Male,Washington University,"St. Louis, MO",United States of America,1984-10-20,"Cambridge, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/3/31/Carl_Ferdinand_Cori.jpg,Carl_Ferdinand_Cori.jpg
1948,Medicine,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",1/1,346,Individual,Paul Hermann Müller,1899-01-12,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1965-10-12,Basel,Switzerland,https://upload.wikimedia.org/wikipedia/commons/d/d6/Paul_Hermann_M%C3%BCller_nobel.jpg,Paul_Hermann_Müller_nobel.jpg
1949,Literature,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel""",1/1,620,Individual,William Faulkner,1897-09-25,"New Albany, MS",United States of America,Male,NA,NA,NA,1962-07-06,"Byhalia, MS",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Carl_Van_Vechten_-_William_Faulkner.jpg/300px-Carl_Van_Vechten_-_William_Faulkner.jpg,Carl_Van_Vechten_-_William_Faulkner.jpg
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",1/2,347,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland,1973-08-12,Ascona,Switzerland,https://upload.wikimedia.org/wikipedia/commons/c/cb/Walter_Hess.jpg,Walter_Hess.jpg
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1/1,54,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981-09-08,Kyoto,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Yukawa.jpg/300px-Yukawa.jpg,Yukawa.jpg
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1/2,211,Individual,Kurt Alder,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958-06-20,Cologne,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/3/30/Kurt_Alder_Nobel.jpg,Kurt_Alder_Nobel.jpg
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,349,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1972-05-04,"Princeton, NJ",United States of America,https://upload.wikimedia.org/wikipedia/en/f/fa/Edward_Calvin_Kendall_nobel.jpg,Edward_Calvin_Kendall_nobel.jpg
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,351,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1965-03-30,Ocho Rios,Jamaica,https://upload.wikimedia.org/wikipedia/en/a/a9/Philip_Showalter_Hench.jpg,Philip_Showalter_Hench.jpg
1950,Peace,The Nobel Peace Prize 1950,NA,1/1,511,Individual,Ralph Bunche,1904-08-07,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1971-12-09,"New York, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Ralph_Bunche_-_1963_March_on_Washington.jpg/300px-Ralph_Bunche_-_1963_March_on_Washington.jpg,Ralph_Bunche_-_1963_March_on_Washington.jpg
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1/1,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,1972-08-11,"New Haven, CT",United States of America,https://upload.wikimedia.org/wikipedia/commons/b/b3/Max_Theiler_nobel.jpg,Max_Theiler_nobel.jpg
1951,Peace,The Nobel Peace Prize 1951,NA,1/1,512,Individual,Léon Jouhaux,1879-07-01,Paris,France,Male,NA,NA,NA,1954-04-28,Paris,France,https://upload.wikimedia.org/wikipedia/commons/c/c9/L%C3%A9on_Jouhaux_nobel.jpg,Léon_Jouhaux_nobel.jpg
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1/2,215,Individual,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/4/45/Richard_Laurence_Millington_Synge.jpg,Richard_Laurence_Millington_Synge.jpg
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1/1,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,Male,NA,NA,NA,1970-09-01,Paris,France,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Fran%C3%A7ois_Mauriac_redux.jpg/300px-Fran%C3%A7ois_Mauriac_redux.jpg,François_Mauriac_redux.jpg
1952,Peace,The Nobel Peace Prize 1952,NA,1/1,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),Male,NA,NA,NA,1965-09-04,Lambaréné,Gabon,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Bundesarchiv_Bild_183-D0116-0041-019%2C_Albert_Schweitzer.jpg/300px-Bundesarchiv_Bild_183-D0116-0041-019%2C_Albert_Schweitzer.jpg,"Bundesarchiv_Bild_183-D0116-0041-019,_Albert_Schweitzer.jpg"
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1/2,58,Individual,Felix Bloch,1905-10-23,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,1983-09-10,Zurich,Switzerland,https://upload.wikimedia.org/wikipedia/commons/0/0b/Felix_Bloch%2C_Stanford_University.jpg,"Felix_Bloch,_Stanford_University.jpg"
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1/2,59,Individual,Edward Mills Purcell,1912-08-30,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1997-03-07,"Cambridge, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/d/d3/Edward_Mills_Purcell.jpg,Edward_Mills_Purcell.jpg
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1/1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Hermann_Staudinger.jpg/300px-Hermann_Staudinger.jpg,Hermann_Staudinger.jpg
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,1986-07-24,"Poughkeepsie, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Portrait_of_Fritz_Albert_Lipmann_%281899-1986%29%2C_Biochemist_%282551001689%29.jpg/300px-Portrait_of_Fritz_Albert_Lipmann_%281899-1986%29%2C_Biochemist_%282551001689%29.jpg,"Portrait_of_Fritz_Albert_Lipmann_(1899-1986),_Biochemist_(2551001689).jpg"
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1/1,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,1966-03-10,Groningen,Netherlands,https://upload.wikimedia.org/wikipedia/commons/4/4d/Zernike.jpg,Zernike.jpg
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1/3,357,Individual,Thomas Huckle Weller,1915-06-15,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,2008-08-23,"Needham, MA",United States of America,https://upload.wikimedia.org/wikipedia/en/c/cb/Thomas_Huckle_Weller.jpg,Thomas_Huckle_Weller.jpg
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1/3,358,Individual,Frederick Chapman Robbins,1916-08-25,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,2003-08-04,"Cleveland, OH",United States of America,https://upload.wikimedia.org/wikipedia/commons/4/45/Frederick_Chapman_Robbins_nobel.jpg,Frederick_Chapman_Robbins_nobel.jpg
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",1/2,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,1970-01-05,Göttingen,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Max_Born.jpg/300px-Max_Born.jpg,Max_Born.jpg
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",1/2,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1957-02-08,Heidelberg,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Walther_Bothe_1950s.jpg/300px-Walther_Bothe_1950s.jpg,Walther_Bothe_1950s.jpg
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1/1,218,Individual,Vincent du Vigneaud,1901-05-18,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1978-12-11,"White Plains, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Dr._Vincent_du_Vigneaud.jpg/300px-Dr._Vincent_du_Vigneaud.jpg,Dr._Vincent_du_Vigneaud.jpg
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",1/2,64,Individual,Polykarp Kusch,1911-01-26,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,1993-03-20,"Dallas, TX",United States of America,https://upload.wikimedia.org/wikipedia/commons/9/9d/Polykarp_Kusch.jpg,Polykarp_Kusch.jpg
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1/1,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Male,NA,NA,NA,1958-05-29,San Juan,Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/JRJimenez.JPG/300px-JRJimenez.JPG,JRJimenez.JPG
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1/3,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,1988-02-19,"Great Barrington, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/4/47/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand_nobel.jpg,André_Frédéric_Cournand_nobel.jpg
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1/3,361,Individual,Werner Forssmann,1904-08-29,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,1979-06-01,Schopfheim,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/9/9f/Werner_Forssmann_nobel.jpg,Werner_Forssmann_nobel.jpg
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1/3,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,1973-02-23,"Lakeville, CT",United States of America,https://upload.wikimedia.org/wikipedia/commons/7/77/Dickinson_W._Richards_nobel.jpg,Dickinson_W._Richards_nobel.jpg
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1/3,66,Individual,John Bardeen,1908-05-23,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1991-01-30,"Boston, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/4/4a/Bardeen.jpg,Bardeen.jpg
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1/3,67,Individual,Walter Houser Brattain,1902-02-10,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,1987-10-13,"Seattle, WA",United States of America,https://upload.wikimedia.org/wikipedia/commons/c/c4/Brattain.jpg,Brattain.jpg
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1/1,628,Individual,Albert Camus,1913-11-07,Mondovi,French Algeria (Algeria),Male,NA,NA,NA,1960-01-04,Sens,France,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Albert_Camus%2C_gagnant_de_prix_Nobel%2C_portrait_en_buste%2C_pos%C3%A9_au_bureau%2C_faisant_face_%C3%A0_gauche%2C_cigarette_de_tabagisme.jpg/300px-Albert_Camus%2C_gagnant_de_prix_Nobel%2C_portrait_en_buste%2C_pos%C3%A9_au_bureau%2C_faisant_face_%C3%A0_gauche%2C_cigarette_de_tabagisme.jpg,"Albert_Camus,_gagnant_de_prix_Nobel,_portrait_en_buste,_posé_au_bureau,_faisant_face_à_gauche,_cigarette_de_tabagisme.jpg"
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1/1,363,Individual,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992-04-08,Rome,Italy,https://upload.wikimedia.org/wikipedia/commons/b/b5/Daniel_Bovet_nobel.jpg,Daniel_Bovet_nobel.jpg
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1/1,222,Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Frederick_Sanger2.jpg/300px-Frederick_Sanger2.jpg,Frederick_Sanger2.jpg
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",1/2,366,Individual,Joshua Lederberg,1925-05-23,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,2008-02-02,"New York, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Joshua_Lederberg-nih.jpg/300px-Joshua_Lederberg-nih.jpg,Joshua_Lederberg-nih.jpg
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1/1,630,Individual,Salvatore Quasimodo,1901-08-20,Modica,Italy,Male,NA,NA,NA,1968-06-14,Naples,Italy,https://upload.wikimedia.org/wikipedia/commons/7/74/Salvatore_Quasimodo_1959.jpg,Salvatore_Quasimodo_1959.jpg
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1/2,367,Individual,Severo Ochoa,1905-09-24,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,1993-11-01,Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/b/b2/Severo_Ochoa_1958b.jpg,Severo_Ochoa_1958b.jpg
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1/2,368,Individual,Arthur Kornberg,1918-03-03,"Brooklyn, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,2007-10-26,"Stanford, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Arthur_Kornberg_%2830828410210%29_-_restoration1.jpg/300px-Arthur_Kornberg_%2830828410210%29_-_restoration1.jpg,Arthur_Kornberg_(30828410210)_-_restoration1.jpg
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1/2,73,Individual,Owen Chamberlain,1920-07-10,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,2006-02-28,"Berkeley, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/6/69/Owen_Chamberlain.jpg,Owen_Chamberlain.jpg
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1/1,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Male,NA,NA,NA,1975-09-20,Presqu'île-de-Giens,France,https://upload.wikimedia.org/wikipedia/commons/1/10/Saint-John_Perse_1960.jpg,Saint-John_Perse_1960.jpg
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",1/1,225,Individual,Melvin Calvin,1911-04-08,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America,1997-01-08,"Berkeley, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Melvin_Calvin_1960s.jpg/300px-Melvin_Calvin_1960s.jpg,Melvin_Calvin_1960s.jpg
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1/1,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,1972-06-13,"Honolulu, HI",United States of America,https://upload.wikimedia.org/wikipedia/en/9/9f/Georg_von_B%C3%A9k%C3%A9sy_nobel.jpg,Georg_von_Békésy_nobel.jpg
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",1/2,75,Individual,Robert Hofstadter,1915-02-05,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,1990-11-17,"Stanford, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/b/bf/Robert_Hofstadter.jpg,Robert_Hofstadter.jpg
1962,Literature,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",1/1,634,Individual,John Steinbeck,1902-02-27,"Salinas, CA",United States of America,Male,NA,NA,NA,1968-12-20,"New York, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/John_Steinbeck_1939_%28cropped%29.jpg/300px-John_Steinbeck_1939_%28cropped%29.jpg,John_Steinbeck_1939_(cropped).jpg
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",1/2,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,1973-08-12,Mülheim,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/b/b5/Karl_Ziegler_Nobel.jpg,Karl_Ziegler_Nobel.jpg
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",1/2,229,Individual,Giulio Natta,1903-02-26,Imperia,Italy,Male,Institute of Technology,Milan,Italy,1979-05-02,Bergamo,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Giulio_Natta_1960s.jpg/300px-Giulio_Natta_1960s.jpg,Giulio_Natta_1960s.jpg
1963,Literature,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",1/1,635,Individual,Giorgos Seferis,1900-03-13,Smyrna (Izmir),Ottoman Empire (Turkey),Male,NA,NA,NA,1971-09-20,Athens,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/George_Seferis.JPG/300px-George_Seferis.JPG,George_Seferis.JPG
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",1/4,79,Individual,Maria Goeppert Mayer,1906-06-28,Kattowitz (Katowice),Germany (Poland),Female,University of California,"San Diego, CA",United States of America,1972-02-20,"San Diego, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/2/22/Maria_Goeppert-Mayer.jpg,Maria_Goeppert-Mayer.jpg
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",1/4,80,Individual,J. Hans D. Jensen,1907-06-25,Hamburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1973-02-11,Heidelberg,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/e/e4/Johannes_Hans_Daniel_Jensen_%281907%E2%80%931973%29.jpg,Johannes_Hans_Daniel_Jensen_(1907–1973).jpg
1964,Literature,The Nobel Prize in Literature 1964,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",1/1,637,Individual,Jean-Paul Sartre,1905-06-21,Paris,France,Male,NA,NA,NA,1980-04-15,Paris,France,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Sartre_1967_crop.jpg/300px-Sartre_1967_crop.jpg,Sartre_1967_crop.jpg
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",1/2,379,Individual,Feodor Lynen,1911-04-06,Munich,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,1979-08-06,Munich,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Feodor_Lynen_with_pipette.jpg/300px-Feodor_Lynen_with_pipette.jpg,Feodor_Lynen_with_pipette.jpg
1964,Peace,The Nobel Peace Prize 1964,NA,1/1,524,Individual,Martin Luther King Jr.,1929-01-15,"Atlanta, GA",United States of America,Male,NA,NA,NA,1968-04-04,"Memphis, TN",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/300px-Martin_Luther_King%2C_Jr..jpg,"Martin_Luther_King,_Jr..jpg"
1965,Chemistry,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis""",1/1,231,Individual,Robert Burns Woodward,1917-04-10,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1979-07-08,"Cambridge, MA",United States of America,https://upload.wikimedia.org/wikipedia/en/b/bf/Robert_Woodward_Nobel.jpg,Robert_Woodward_Nobel.jpg
